Alþbl+óh	Alþýðubandalag og óháðir
Alþ.band	Alþýðubandalag
Alþ.fl	Alþýðuflokkur - Jafnaðarmannaflokkur Íslands
Anark	Anarkistar á Íslandi
Band-jafn	Bandalag jafnaðarmanna
Borgarafl	Borgaraflokkur
Framboðsfl.	Framboðsflokkur
Frams.fl	Framsóknarflokkur
Frjálsl-fl	Frjálslyndi flokkurinn
Frjálsl	Frjálslyndir
Grænt-framb	Grænt framboð
Heimastj	Heimastjórnarsamtökin
Húmanist	Húmanistaflokkur
Krist-stj.hr	Kristileg stjórnmálahreyfing
Krist-lýðr	Kristilegi lýðræðisflokkurinn
Nátt.laga.fl	Náttúrulagaflokkur Íslands
Óh-lýðr.fl	Óháði lýðræðisflokkurinn
Samf	Samfylkingin
Samt-fr&vi	Samtök frjálsl. og vinstri manna
Samt-öfg-jafn	Samtök öfgasinnaðra jafnaðarmanna
Samt-jafn-fél	Samtök um jafnrétti og félagshyggju
Kvennal	Samtök um kvennalista
Sjálfst.fl	Sjálfstæðisflokkur
Suðurl.list	Suðurlandslistinn, listi utan flokka á Suðurlandi
Utan-fl-Alþbl	Utan flokka - Alþýðubandalag
Utan-fl	Utan flokka
Verkam.fl-Ísl	Verkamannaflokkur Íslands
Vestfj.list	Vestfjarðalistinn, samtök stuðningsmanna Péturs Bjarnasonar
Vinstri-græn	Vinstrihreyfingin - grænt framboð
Fl-manns	Þjóðarflokkur - Flokkur mannsins
Þjóðarfl.	Þjóðarflokkur
Þjóðvaki	Þjóðvaki, hreyfing fólksins
Þjóðvarn.fl	Þjóðvarnarflokkur
